number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_attraction,params_avoidance,params_vel_weight,state
0,95.96752527840918,2025-04-26 03:32:35.096913,2025-04-26 03:33:45.122456,0 days 00:01:10.025543,16.52527144567768,0.4188741811501826,19.81454960290412,3.2467174222370723,0.8968756221651748,COMPLETE
1,98.23223304703262,2025-04-26 03:33:45.123203,2025-04-26 03:35:01.658861,0 days 00:01:16.535658,13.946442820491448,0.9223591878438028,14.47180091069642,8.804385171941341,0.5633172041800774,COMPLETE
2,98.23223304677995,2025-04-26 03:35:01.659154,2025-04-26 03:36:13.345262,0 days 00:01:11.686108,8.115710166413026,0.5360038097505867,22.73467544618982,3.7267771833038834,0.21902665450690836,COMPLETE
3,96.39177583754386,2025-04-26 03:36:13.345527,2025-04-26 03:37:35.902431,0 days 00:01:22.556904,18.874185060527164,0.8643107944434387,7.624471914087543,4.889161508443988,0.7961993675121114,COMPLETE
4,98.23223244365649,2025-04-26 03:37:35.902706,2025-04-26 03:39:25.572465,0 days 00:01:49.669759,6.801535805468125,0.8273723231112905,4.973162006237688,5.089871991835243,0.6459887063347685,COMPLETE
5,96.07743781780033,2025-04-26 03:39:25.572730,2025-04-26 03:41:08.111387,0 days 00:01:42.538657,9.853144812364565,0.6177012395540143,5.6748943737389235,1.522461706553385,0.9851497926034539,COMPLETE
6,95.7485263913738,2025-04-26 03:41:08.111658,2025-04-26 03:43:07.498529,0 days 00:01:59.386871,10.367680487873653,0.6159606647624057,13.911253206682783,6.735611399235126,0.8353365683871629,COMPLETE
7,96.05892941378198,2025-04-26 03:43:07.498795,2025-04-26 03:46:44.879859,0 days 00:03:37.381064,16.62619619491958,0.11108910797713145,24.43235310493352,8.611144221744885,0.3657500321341466,COMPLETE
8,95.94644881605481,2025-04-26 03:46:44.880141,2025-04-26 03:49:28.413951,0 days 00:02:43.533810,17.74556652353921,0.33364816285066634,23.82407876199263,5.140523093279115,0.7999197892536406,COMPLETE
9,98.23223304703363,2025-04-26 03:49:28.414340,2025-04-26 03:52:55.092294,0 days 00:03:26.677954,12.957291213859534,0.9985973406819946,14.16817792184996,1.059277637930352,0.36790977811761894,COMPLETE
10,95.19698799030462,2025-04-26 03:52:55.092582,2025-04-26 03:58:21.102599,0 days 00:05:26.010017,13.057502272486332,0.07948026003312791,29.758801843770843,1.015845196226345,0.11662380736306205,COMPLETE
11,98.23223304703362,2025-04-26 03:58:21.102859,2025-04-26 04:02:55.400101,0 days 00:04:34.297242,13.660249653237528,0.9763622032396656,12.893945072734278,9.635218172812126,0.4767302792199847,COMPLETE
12,98.22938461814663,2025-04-26 04:02:55.400494,2025-04-26 04:08:19.243726,0 days 00:05:23.843232,14.340977330311638,0.9906290691912498,11.107546516534805,7.203515750681213,0.4010864499164624,COMPLETE
13,98.23223304688817,2025-04-26 04:08:19.243986,2025-04-26 04:14:04.995572,0 days 00:05:45.751586,11.0372456951394,0.7466299396405413,10.12865082332501,9.654845894571698,0.39934232381143275,COMPLETE
14,100.0,2025-04-26 04:14:04.995858,2025-04-26 04:20:35.066727,0 days 00:06:30.070869,15.226290897247697,0.7404452529099206,1.3009999968856132,2.5395486247878827,0.29184414606786296,COMPLETE
15,98.23223304516648,2025-04-26 04:20:35.066980,2025-04-26 04:29:21.751778,0 days 00:08:46.684798,15.497250708784458,0.7349582485223326,1.0532737069791622,2.4155990326991645,0.2517160710654439,COMPLETE
16,96.46446587399788,2025-04-26 04:29:21.752033,2025-04-26 04:36:55.082351,0 days 00:07:33.330318,11.665976831218376,0.7590711371163668,17.797513605702363,2.340236887685873,0.28081706760722586,COMPLETE
17,95.9646178650629,2025-04-26 04:36:55.082606,2025-04-26 04:44:53.439681,0 days 00:07:58.357075,19.159474492993187,0.28697101121150215,2.5669917740695185,3.6560523882130944,0.5907090907589776,COMPLETE
18,100.0,2025-04-26 04:44:53.439973,2025-04-26 04:55:14.766494,0 days 00:10:21.326521,8.84952028044847,0.645402913231083,29.448799778902956,2.1189652272243986,0.12696152104563227,COMPLETE
19,98.23223304703362,2025-04-26 04:55:14.766753,2025-04-26 05:06:11.903141,0 days 00:10:57.136388,5.222078819194937,0.5956290831791196,29.173347618990334,2.593991736101503,0.12368564306844157,COMPLETE
20,96.44698089055272,2025-04-26 05:06:11.903433,2025-04-26 05:17:53.487727,0 days 00:11:41.584294,9.350930847965119,0.45196304165948953,26.54948344088651,6.241783996348737,0.1844671709522174,COMPLETE
21,98.23223304703362,2025-04-26 05:17:53.487990,2025-04-26 05:29:34.376648,0 days 00:11:40.888658,14.925706492445832,0.6887040656950418,17.860636139121933,1.5584737414825538,0.31473904893321647,COMPLETE
22,100.0,2025-04-26 05:29:34.376930,2025-04-26 05:41:14.257344,0 days 00:11:39.880414,12.159155800588824,0.8351692880699942,20.245833458298378,4.235264908405188,0.47494981981502293,COMPLETE
23,100.0,2025-04-26 05:41:14.257739,2025-04-26 05:53:28.389925,0 days 00:12:14.132186,7.992310245669127,0.8343924276681158,21.19027035497917,4.103795863509274,0.46746638383923456,COMPLETE
24,96.45218314295593,2025-04-26 05:53:28.390206,2025-04-26 06:06:21.640580,0 days 00:12:53.250374,12.219081002891667,0.6804374676741112,26.683776638317966,4.241693929105411,0.48306535852199334,COMPLETE
25,98.2322326780173,2025-04-26 06:06:21.640838,2025-04-26 06:19:52.081401,0 days 00:13:30.440563,8.453751301397002,0.545751630201883,17.139215991953066,2.7295952118145577,0.18437151393724238,COMPLETE
26,96.4644647383856,2025-04-26 06:19:52.081663,2025-04-26 06:33:58.272076,0 days 00:14:06.190413,6.094457892701365,0.8913133120611707,26.92050009145794,1.9427866678050874,0.2927237141259643,COMPLETE
27,98.23223260874789,2025-04-26 06:33:58.272470,2025-04-26 06:48:54.797345,0 days 00:14:56.524875,15.82917936186364,0.7896875474246181,20.232800155593356,3.1301394112185363,0.1013838255683141,COMPLETE
28,96.19049449187031,2025-04-26 06:48:54.797606,2025-04-26 07:04:09.832137,0 days 00:15:15.034531,11.510053744580885,0.665126867968246,9.23136606634448,5.88581822765993,0.6666341909248039,COMPLETE
29,98.23223304438156,2025-04-26 07:04:09.832418,2025-04-26 07:22:08.666086,0 days 00:17:58.833668,16.87612647262425,0.3802346050785113,22.252319056123678,3.2719847424559605,0.1780936608174673,COMPLETE
30,96.1461382511304,2025-04-26 07:22:08.666374,2025-04-26 07:38:32.392903,0 days 00:16:23.726529,9.237982712075977,0.46998635932857213,16.43221503645677,4.23251561115341,0.44023868009079525,COMPLETE
31,98.23223304703363,2025-04-26 07:38:32.393295,2025-04-26 07:55:52.496373,0 days 00:17:20.103078,7.943786369606857,0.816639461182462,19.755840372455317,4.339654099988663,0.5014281597227457,COMPLETE
32,100.0,2025-04-26 07:55:52.496630,2025-04-26 08:13:41.246514,0 days 00:17:48.749884,7.1563075672290095,0.9317956473950852,20.405880954291487,3.3239325995617817,0.5457469727543931,COMPLETE
33,98.23223192779142,2025-04-26 08:13:41.246770,2025-04-26 08:32:17.141018,0 days 00:18:35.894248,8.42453098569903,0.8731341624894349,21.392820530225375,4.60020180721233,0.33288044259783894,COMPLETE
34,96.34344506550744,2025-04-26 08:32:17.141317,2025-04-26 08:51:17.856066,0 days 00:19:00.714749,7.185919975049091,0.8204512595874429,24.6039163713898,3.7897948911752555,0.68155852003637,COMPLETE
35,100.0,2025-04-26 08:51:17.856345,2025-04-26 09:10:56.040332,0 days 00:19:38.183987,10.633262524216278,0.7077325340536547,15.463126067424035,2.9937509901291217,0.23849028422148139,COMPLETE
36,96.10508031502118,2025-04-26 09:10:56.040717,2025-04-26 09:31:05.026101,0 days 00:20:08.985384,5.707736874977393,0.5183043824059075,19.010462151918183,2.172112830832512,0.5835160654740814,COMPLETE
37,100.0,2025-04-26 09:31:05.026486,2025-04-26 09:52:05.077219,0 days 00:21:00.050733,18.012664543542428,0.9188676464201992,5.936798152172667,3.778872948547333,0.4347437779904419,COMPLETE
38,96.16674515760558,2025-04-26 09:52:05.077629,2025-04-26 10:13:22.958374,0 days 00:21:17.880745,19.96592804085718,0.5816094719242548,22.95246237037596,5.288169826900331,0.5176728305419992,COMPLETE
